CLIENTE,RAZÓN SOCIAL,RFC,GRUPO,TIPO DE NEGOCIO,FECHA ALTA,SECTOR ECONÓMICO,SUBSECTOR ECONÓMICO,TIPO DE VENTA,CONTADO ESPECIAL,FECHA ALTA CRÉDITO,CRÉDITO,FECHA INICIO COBERTURA SEGURO,MONTO COBERTURA SEGURO,EMPRESA COBERTURA SEGURO,PLAZO,INTERÉS,ESTATUS,EMPRESA REGISTRO,SUCURSAL REGISTRO,PRODUCTO,DIRECCIÓN FISCAL,VENDEDOR(ES),TELÉFONO(S),GARANTÍA,IMPORTE FIANZA,IMPORTE PAGARÉ,IMPORTE CONTRATO,IMPORTE FILIAL,IMPORTE DISCRECIONAL,FECHA INICIO FIANZA,FECHA FIN FIANZA,FECHA INICIO PAGARÉ,FECHA FIN PAGARÉ,FECHA INICIO CONTRATO,FECHA FIN CONTRATO,FIANZA,FECHA VENC. FIANZA,
5627,"""GRANEROS UNIDOS DEL SAN LORENZO""",GUS091217IM3,,GasPetroil,03/05/2024,AGRICULTURA,AGROINDUSTRIA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,CULIACAN GAS LP,," ADOLFO LOPEZ MATEOS SUR #1477 SINALOA C.P. 80260 Culiacán, Sinaloa, México",PETROSMART - CULIACAN GAS LP - AMADO SABAS GUZMAN REYNAUD,"6673234314,",,,,undefined,,,,,,,undefined,undefined,,,
6248,"""SUPRA LOGISTICS""",SLO110818NX2,,Distribuidora,05/10/2024,TRANSPORTE,CARGA,Credito,NO,07/10/2024,"$5,000,000.00",21/10/2024,$0.00,Abastecedora,15,%0.125,Activo,Abastecedora,Guadalajara," GASOLINA 87 OCTANOS, GASOLINA 91 OCTANOS"," AV RIO SAN JOAQUIN #436 AMPLIACION GRANADA C.P. 11529 Miguel Hidalgo, Ciudad de México, México",ABACOM - Guadalajara - FRANCISCO RUBEN RAMOS MATA,"3322409900,",,,,undefined,,,,,,,undefined,undefined,,,
3217,: SDN REMODELACION DEL COMPLEJO LOGISTICO Y CONSTRUCCION DEL COMPLEJO FERROVIARIO,SDN8501014D2,GRUPO SDN,Distribuidora,10/06/2021,GOBIERNO,FEDERAL,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,Salamanca," DIESEL AUTOMOTRIZ PETROIL, DIESEL DE ULTRA BAJO EN AZUFRE (DUBA)"," CARRETERA FEDERAL MEXICO-PACHUCA #KM 42.5 CAMPO MILITARNO 37-D SANTA LUCIA MEXICO. C.P. 55640 Zumpango, México, México",PETROSMART - Silao - MARTIN GONZALEZ ENRIQUEZ,"5581229957,",,,,undefined,,,,,,,undefined,undefined,,,
5964,2GRANDES SOLUCIONES PRIMARIAS,GSP2007184A5,,Distribuidora,04/07/2024,TRANSPORTE,CARGA,Credito,NO,11/07/2024,"$500,000.00",11/07/2024,"$500,000.00",Abastecedora,30,%0.125,Activo,Abastecedora,Culiacan, DIESEL AUTOMOTRIZ PETROIL," BOULEVARD ALFONSO ZARAGOZA MAYTORENA #1980 DESARROLLO URBANO TRES RIOS C.P. 80020 Culiacán, Sinaloa, México",ABACOM - Culiacan - ROSA MONTAÑO MACIEL,"6671509770,",,,,undefined,,,,,,,undefined,undefined,,,
7152,2X3 CONCRETO,XCO230912SR6,,Distribuidora,05/06/2025,CONSTRUCCION,MATERIA PRIMA,Credito,NO,21/06/2025,"$500,000.00",21/06/2025,"$500,000.00",Abastecedora,30,%0.125,Activo,Abastecedora,Mazatlan,," AVENIDA FRANCISCO I MADERO #8701 VALLE DEL EJIDO C.P. 82134 Mazatlán, Sinaloa, México",ABACOM - Mazatlan - CARLOS ALBERTO MUÑOZ SALAS,"6691523598,",,,,undefined,,,,,,,undefined,undefined,,,
8163,3 CG GROUP,TCG151112KH7,,Distribuidora,07/04/2026,TRANSPORTE,CARGA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,Silao,," EJE 124 #112 ZONA INDUSTRIAL C.P. 78395 San Luis Potosí, San Luis Potosí, México",PETROSMART - Silao - JORGE GUERRERO MERCADO,"4446015492,",,,,undefined,,,,,,,undefined,undefined,,,
5527,3116 LTD/ BLISS,XEXX010101000,,Distribuidora,19/04/2024,TURISMO,TURISMO YATES,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,La Paz,," 68 FORT STREET #N/A N/A C.P. 11207 GEORGE TOWN, Grand Cayman, Cayman Islands",ABACOM - La Paz - AMADO SABAS GUZMAN REYNAUD,"6121212121,",,,,undefined,,,,,,,undefined,undefined,,,
8422,4 ON THE GO,COG0709259D1,,Distribuidora,22/06/2026,TRANSPORTE,CARGA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Monterrey,," AVENIDA JUAREZ #146 OTE CENTRO C.P. 27000 Torreón, Coahuila de Zaragoza, México",ABACOM - Monterrey - JESUS IGNACIO ARAMBULA GARCIA,"8124343501,",,,,undefined,,,,,,,undefined,undefined,,,
6449,4 SHIPPING MEXICO,CSM2112025P3,,Distribuidora,04/12/2024,TRANSPORTE,CARGA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Guadalajara, DIESEL AUTOMOTRIZ PETROIL," CALZADA DE LOS FRESNOS #70 A CIUDAD GRANJA C.P. 45010 Zapopan, Jalisco, México",ABACOM - Guadalajara - FRANCISCO RUBEN RAMOS MATA,"3316059070,",,,,undefined,,,,,,,undefined,undefined,,,
8289,53 AUTOMOTRIZ,CTA250718JN3,,Distribuidora,14/05/2026,TRANSPORTE,CARGA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Guadalajara,," AV DE LA INDUSTRIA #701 VALLE  SOLEADO C.P. 67130 Guadalupe, Nuevo León, México",ABACOM - Guadalajara - FRANCISCO RUBEN RAMOS MATA,"3316028141,",,,,undefined,,,,,,,undefined,undefined,,,
